행정구역(동읍면)별,항목,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025,2025,2025
행정구역(동읍면)별,항목,25 - 29세,30 - 34세,35 - 39세,25 - 29세,30 - 34세,35 - 39세,25 - 29세,30 - 34세,35 - 39세,25 - 29세,30 - 34세,35 - 39세,25 - 29세,30 - 34세,35 - 39세
전국,총인구수 (명),3534601,3216061,3507374,3475340,3317257,3298254,3403046,3399252,3176296,3307842,3479212,3145351,3237571,3543555,3132902
,남자인구수 (명),1867507,1675607,1797104,1829217,1737578,1691286,1783849,1785954,1635037,1725897,1834878,1623100,1684130,1866995,1625814
,여자인구수 (명),1667094,1540454,1710270,1646123,1579679,1606968,1619197,1613298,1541259,1581945,1644334,1522251,1553441,1676560,1507088
서울특별시,총인구수 (명),819200,736001,703278,811109,758697,667111,800753,777975,649430,777691,796699,645966,762741,812000,650944
,남자인구수 (명),398640,367125,351638,391586,379883,332792,382835,390093,323822,367817,399996,322191,357481,405292,326058
,여자인구수 (명),420560,368876,351640,419523,378814,334319,417918,387882,325608,409874,396703,323775,405260,406708,324886
부산광역시,총인구수 (명),220863,194498,210802,212979,200105,196322,204484,203253,187406,195300,204349,184609,188468,205067,183230
,남자인구수 (명),115518,100304,107643,110400,103599,99956,105264,105605,95704,100124,106376,94455,96317,106485,94302
,여자인구수 (명),105345,94194,103159,102579,96506,96366,99220,97648,91702,95176,97973,90154,92151,98582,88928
대구광역시,총인구수 (명),158264,136780,148085,153446,141065,138392,148557,146165,133800,142950,148274,134358,138442,150515,134586
,남자인구수 (명),84910,73604,75848,81353,76117,71860,78356,78536,70552,75096,79601,71341,72511,80084,72035
,여자인구수 (명),73354,63176,72237,72093,64948,66532,70201,67629,63248,67854,68673,63017,65931,70431,62551
인천광역시,총인구수 (명),213099,193549,208542,209086,205370,199892,203846,215195,197890,198382,222125,199975,195403,227677,203850
,남자인구수 (명),111686,100855,107424,109212,107436,103098,105983,112672,102610,102739,116651,103781,101039,119506,105932
,여자인구수 (명),101413,92694,101118,99874,97934,96794,97863,102523,95280,95643,105474,96194,94364,108171,97918
광주광역시,총인구수 (명),103344,84397,96792,102397,87822,89595,100096,89946,84129,96960,92591,81171,93204,94668,78982
,남자인구수 (명),54196,43660,49123,53600,45666,45505,52312,47060,42787,50504,48801,41415,48678,49728,40644
,여자인구수 (명),49148,40737,47669,48797,42156,44090,47784,42886,41342,46456,43790,39756,44526,44940,38338
대전광역시,총인구수 (명),109161,93164,96505,109004,96636,91355,108147,99622,88343,105575,102958,87979,104729,106389,88602
,남자인구수 (명),58373,49772,49606,58112,51647,47251,57447,53220,46155,55821,55054,46358,55207,56802,47075
,여자인구수 (명),50788,43392,46899,50892,44989,44104,50700,46402,42188,49754,47904,41621,49522,49587,41527
울산광역시,총인구수 (명),71534,67456,77435,69453,68298,71337,67409,69325,67584,65800,69995,66298,64208,71401,65496
,남자인구수 (명),40708,36803,40342,39518,37509,37424,38473,38361,35973,37965,39038,35617,37528,40116,35614
,여자인구수 (명),30826,30653,37093,29935,30789,33913,28936,30964,31611,27835,30957,30681,26680,31285,29882
세종특별자치시,총인구수 (명),20982,27081,34638,20642,27853,33230,20153,27376,31964,19459,27604,31218,19217,27287,30521
,남자인구수 (명),10525,13174,16957,10365,13615,16334,10015,13434,15834,9606,13596,15428,9526,13500,15109
,여자인구수 (명),10457,13907,17681,10277,14238,16896,10138,13942,16130,9853,14008,15790,9691,13787,15412
경기도,총인구수 (명),958951,899899,1000548,944242,934442,947858,927111,959377,919357,908856,988842,918541,893678,1008733,916714
,남자인구수 (명),511068,469614,514005,502693,490921,487306,492121,505681,473891,479687,523672,473882,470307,534519,475008
,여자인구수 (명),447883,430285,486543,441549,443521,460552,434990,453696,445466,429169,465170,444659,423371,474214,441706
강원특별자치도,총인구수 (명),86165,76692,86125,85845,79567,80798,84313,81185,77409,81693,82347,76177,79763,83582,75094
,남자인구수 (명),48980,41237,44630,48554,42938,42032,47594,44173,40519,45935,44977,39992,44885,45626,39783
,여자인구수 (명),37185,35455,41495,37291,36629,38766,36719,37012,36890,35758,37370,36185,34878,37956,35311
충청북도,총인구수 (명),101465,89632,100975,100818,92559,94873,98675,96192,91569,95193,99423,89851,93264,103065,90171
,남자인구수 (명),57952,48968,52909,57173,51518,50046,55334,54112,48662,53132,56169,47927,52182,58235,48744
,여자인구수 (명),43513,40664,48066,43645,41041,44827,43341,42080,42907,42061,43254,41924,41082,44830,41427
충청남도,총인구수 (명),121444,119176,140389,119762,121178,132257,118503,123652,127447,116908,126344,125995,115640,128353,124202
,남자인구수 (명),68362,65184,74803,67580,66643,70478,67340,68152,68247,66151,70273,67684,65160,71704,67107
,여자인구수 (명),53082,53992,65586,52182,54535,61779,51163,55500,59200,50757,56071,58311,50480,56649,57095
전북특별자치도,총인구수 (명),99153,83512,98669,97558,85453,91052,96265,87183,85816,93011,89545,83107,90530,91542,81379
,남자인구수 (명),53924,43809,50351,53032,45038,46480,52378,46193,43863,50665,47605,42675,49270,48700,42245
,여자인구수 (명),45229,39703,48318,44526,40415,44572,43887,40990,41953,42346,41940,40432,41260,42842,39134
전라남도,총인구수 (명),93265,79963,98465,92682,81657,90605,91213,84309,85193,88809,86645,82499,86671,89640,80711
,남자인구수 (명),52323,42365,51559,52003,43436,47092,51068,45111,44360,49644,46687,42806,48358,48513,42074
,여자인구수 (명),40942,37598,46906,40679,38221,43513,40145,39198,40833,39165,39958,39693,38313,41127,38637
경상북도,총인구수 (명),136654,128064,151411,132660,128460,139908,127966,128262,130892,123502,128762,127001,118976,129117,123625
,남자인구수 (명),78172,70331,79324,76088,70837,73635,73633,71128,69578,71325,71889,68263,68722,72463,66912
,여자인구수 (명),58482,57733,72087,56572,57623,66273,54333,57134,61314,52177,56873,58738,50254,56654,56713
경상남도,총인구수 (명),179790,169872,210014,173143,170227,191998,166688,171154,178981,160746,172668,173059,156883,173950,168362
,남자인구수 (명),100439,90402,108587,96753,91398,99242,93241,92351,92939,90259,93752,90538,88220,94769,88904
,여자인구수 (명),79351,79470,101427,76390,78829,92756,73447,78803,86042,70487,78916,82521,68663,79181,79458
제주특별자치도,총인구수 (명),41267,36325,44701,40514,37868,41671,38867,39081,39086,37007,40041,37547,35754,40569,36433
,남자인구수 (명),21731,18400,22355,21195,19377,20755,20455,20072,19541,19427,20741,18747,18739,20953,18268
,여자인구수 (명),19536,17925,22346,19319,18491,20916,18412,19009,19545,17580,19300,18800,17015,19616,18165
